[32m2025-02-28 20:38:04,430 | global | INFO | Connected to IBKR[0m
2025-03-01 20:36:28,155 | global | WARNING | Falling back to new event loop creation...[0m
[32m2025-03-01 20:36:28,233 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,233 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,233 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,233 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,233 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:36:28,242 | global | INFO | Connecting to IBKR...[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,247 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,252 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:36:28,258 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(97, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[32m2025-03-01 20:37:01,549 | global | INFO | Using existing event loop...[0m
[32m2025-03-01 20:37:01,549 | global | INFO | Starting new event loop for main()...[0m
[31m2025-03-01 20:37:01,550 | global | ERROR | Error in event loop: Cannot run the event loop while another loop is running[0m
2025-03-01 20:37:01,550 | global | WARNING | Falling back to new event loop creation...[0m
[32m2025-03-01 20:37:01,654 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,654 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,654 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,654 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,660 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,660 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,660 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,660 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,660 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,660 | global | INFO | Connecting to IBKR...[0m
[32m2025-03-01 20:37:01,660 | global | INFO | Connecting to IBKR...[0m
[31m2025-03-01 20:37:01,666 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,666 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,666 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,666 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,666 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,666 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,666 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,671 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,671 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,671 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,671 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,671 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,671 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,671 | global | ERROR | Error connecting to IBKR: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,677 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,677 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,677 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,677 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,677 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,677 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
[31m2025-03-01 20:37:01,677 | global | ERROR | Error in dashboard generation: Task <Task pending name='Task-5' coro=<main() running at <ipython-input-2-60cdcf985d8c>:26>> got Future <Future pending cb=[BaseSelectorEventLoop._sock_write_done(91, handle=<Handle BaseS....0.1', 7497))>)()]> attached to a different loop[0m
